wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, primary_class 
CL1L00202051, , -47.3000, -73.1200, 0.4000, , 7
CL1L00204075, , -47.5500, -73.4800, , , 5
CL1L00203047, , -47.4500, -73.4500, 6.3000, , 5
CL1L00203054, , -47.3200, -73.3300, 14.5000, , 5
CL1L00000053, GCN79, -53.0550, -73.2790, 0.3200, , 6
AR1I60235002, R Toro N, -49.0500, -73.0330, 2.5000, , 5
CL1L34100002, Tempano, -48.7700, -74.8100, 332.0000, , 4
AR1I60236018, R Diablo C, -49.0170, -72.9830, 2.0000, , 6
CL1L44500003, Lucia, -48.4500, -73.3700, 200.0000, , 4
CL1L44400001, Chico, -49.1400, -73.2300, 259.0000, , 4
AR1I60114030, Meseta W, -49.9000, -73.1170, 5.0000, , 6
CL1L00204033, , -47.7100, -73.7800, 0.5000, , 7
AR1I60120004, las Horquetas, -50.0500, -72.9170, 2.0000, , 6
CL1L00000035, GCN73, -53.0410, -73.0780, 0.4700, , 6
CL1L00203062, , -47.5000, -73.2400, 1.3000, , 4
CL1L00202009, , -47.4400, -73.0300, 0.7000, , 6
CL1L03130001, , -53.2170, -73.0330, 0.6000, , 6
CL1L00000020, GCN30, -52.8810, -73.0320, 1.8700, , 6
AR1I60232010, Pier Giorgio, -49.2330, -73.1170, 1.0000, , 6
CL1L00000050, GCN66, -52.9550, -72.9830, 1.0900, , 6
CL1L00204037, , -47.6500, -73.8000, 0.7000, , 4
CL1L00000014, GCN24, -52.8300, -73.0440, 2.2300, , 5
CL1L00000039, GCN59, -52.9480, -73.0350, 0.4500, , 6
CL1L00000012, GCN22, -52.8350, -73.0110, 1.2300, , 6
CL1L00000033, GCN70, -53.0010, -73.0810, 0.3000, , 6
AR1L44220006, Pitersen S, -48.5670, -72.4500, 7.0000, , 5
AR1I60236019, R Diablo W, -49.0170, -73.0000, 1.6000, , 6
CL1L03130003, , -53.2170, -73.0500, 0.6000, , 6
CL1L00203050, , -47.4200, -73.3200, 2.3000, , 5
AR1L44211029, Cerro Cono 5, -47.7830, -72.2830, 0.3000, , 6
AR1L44211047, San Lorenzo E, -47.6000, -72.2500, 7.0000, , 5
AR1L44211034, Cerro Peinado II, -47.7330, -72.2000, 0.1000, , 6
AR1I61000001, H. Y. 1, -47.9000, -72.2500, 0.2000, , 6
CL1L00204018, , -47.7800, -73.5000, 0.4000, , 6
AR1L44211049, Hermoso C, -47.6000, -72.2000, 0.2000, , 6
AR1L44220011, Croslavina N, -48.6830, -72.3830, 1.0000, , 5
AR1L44220012, Croslavina S, -48.7330, -72.3670, 0.8000, , 5
CL1L00204021, , -47.7300, -73.5800, 1.4000, , 6
CL1L00204014, , -47.7300, -73.5100, 0.3000, , 7
AR1I60232003, R Blanco S, -49.3000, -73.0250, 1.5000, , 6
CL1L00204044, , -47.6200, -73.7600, 0.4000, , 4
CL1L00203002, , -47.6000, -73.2500, 0.8000, , 6
AR1I60112019, Cerro Mayo SE, -50.3460, -73.3170, 1.0000, , 5
CL1L00202055, , -47.2800, -73.1100, 2.1000, , 6
AR1I60112010, Mayo, -50.4700, -73.3900, 45.0000, , 4
AR1I60236004, L del Desierto 12, -49.0690, -72.9330, 1.6000, , 6
CL1L00202020, , -47.4000, -73.1000, 0.4000, , 7
